,Loyalty_Number,Year,Month,Flights_Booked,Flights_with_Companions,Total_Flights,Distance,Points_Accumulated,Points_Redeemed,Dollar_Cost_Points_Redeemed,Province,City,Postal_Code,Gender,Education,Marital_Status,Loyalty_Card,CLV,Enrollment_Type,Enrollment_Year,Enrollment_Month,Salary
19079,145322,2018,12,11,4,15,1740,174.0,0,0,Ontario,Sudbury,M5V 1G5,Male,Bachelor,Married,Aurora,14382.56,Standard,2012,12,70085
19103,145323,2018,12,5,5,10,1310,131.0,0,0,New Brunswick,Moncton,E1A 2A7,Male,Bachelor,Single,Star,22325.83,Standard,2015,4,104527
19127,145449,2018,12,0,0,0,0,0.0,0,0,Quebec,Hull,J8Y 3Z5,Female,Bachelor,Married,Aurora,7524.74,2018 Promotion,2018,4,58674
19151,145480,2018,12,16,6,22,2530,253.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,Master,Married,Star,4636.55,Standard,2013,5,123828
19175,145542,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,College,Single,Nova,3870.36,Standard,2018,12,79381
19199,145552,2018,12,7,2,9,2817,281.0,0,0,Prince Edward Island,Charlottetown,C1A 6E8,Male,Doctor,Married,Star,8847.44,Standard,2015,9,147572
19223,145688,2018,12,5,2,7,805,80.0,657,53,Ontario,Sudbury,M5V 1G5,Female,Master,Single,Star,3600.93,Standard,2018,1,118530
19247,145988,2018,12,0,0,0,0,0.0,0,0,Ontario,Ottawa,K1G 4Z0,Female,Bachelor,Married,Nova,9051.71,Standard,2016,8,76517
19271,146028,2018,12,17,0,17,1615,161.0,0,0,Quebec,Montreal,H4G 3T4,Female,College,Single,Aurora,8152.24,Standard,2014,6,79381
19295,146037,2018,12,9,0,9,945,94.0,0,0,British Columbia,Victoria,V10 6T5,Female,Bachelor,Single,Star,4956.25,Standard,2017,5,95713
19319,146067,2018,12,5,5,10,2460,246.0,0,0,Saskatchewan,Regina,S6J 3G0,Female,High School or Below,Married,Star,4808.96,Standard,2012,11,67765
19343,146086,2018,12,0,0,0,0,0.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,Single,Aurora,7057.46,Standard,2015,11,70285
19367,146090,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Bachelor,Divorced,Nova,10484.92,2018 Promotion,2018,2,76622
19391,146099,2018,12,17,5,22,3344,334.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,Single,Nova,6369.26,2018 Promotion,2018,2,57150
19415,146215,2018,11,11,3,14,1988,198.0,0,0,Quebec,Montreal,H2T 9K8,Female,Bachelor,Married,Aurora,5866.07,Standard,2016,1,87485
19439,146354,2018,12,5,2,7,1834,183.0,0,0,Ontario,Toronto,M2M 7K8,Female,Bachelor,Married,Star,3500.45,Standard,2018,1,97324
19463,146400,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Female,Bachelor,Married,Nova,3337.98,Standard,2017,8,76256
19487,146527,2018,12,13,0,13,4537,453.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,Married,Nova,8355.77,Standard,2015,4,79106
19511,146560,2018,12,11,3,14,1302,130.0,0,0,Alberta,Calgary,T3E 2V9,Female,College,Single,Aurora,8036.45,Standard,2018,1,79381
19535,146572,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P5S 6R4,Female,Bachelor,Married,Star,4579.61,Standard,2014,2,61294
19559,146702,2018,12,13,0,13,2613,261.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Aurora,7385.36,2018 Promotion,2018,2,71633
19583,146760,2018,11,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,College,Married,Star,4821.99,Standard,2013,7,79381
19607,146839,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V1E 4R6,Male,Doctor,Single,Star,7271.43,Standard,2015,1,180440
19631,147064,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 2W2,Male,Bachelor,Married,Nova,11160.08,Standard,2012,12,56224
19655,147241,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P2T 6G3,Female,Bachelor,Single,Aurora,7517.38,Standard,2015,5,59490
19679,147272,2018,12,7,0,7,2422,242.0,0,0,Ontario,Toronto,M2M 6J7,Female,Master,Divorced,Star,6273.91,Standard,2013,5,97497
19703,147408,2018,12,9,3,12,1068,106.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Single,Nova,5807.66,Standard,2018,11,77602
19727,663573,2018,12,12,3,15,3135,313.0,0,0,Ontario,Toronto,M8Y 4K8,Female,Bachelor,Single,Aurora,7507.46,2018 Promotion,2018,3,76485
19751,147700,2018,8,11,7,18,1170,117.0,501,41,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Married,Nova,4583.1,Standard,2016,1,48538
19775,147754,2018,12,14,5,19,2679,267.0,0,0,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,Married,Star,3274.04,Standard,2016,10,93278
19799,147891,2018,12,5,1,6,2736,273.0,0,0,Quebec,Montreal,H2T 9K8,Male,Bachelor,Married,Star,5411.94,Standard,2015,10,91567
19823,147898,2018,12,0,0,0,0,0.0,0,0,Quebec,Tremblant,H5Y 2S9,Female,High School or Below,Divorced,Star,4241.64,Standard,2012,8,59849
19847,348065,2018,12,13,0,13,3913,391.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Doctor,Married,Nova,3499.99,Standard,2014,3,131880
19871,148111,2018,12,0,0,0,0,0.0,0,0,Alberta,Banff,T4V 1D4,Female,Bachelor,Divorced,Nova,8456.96,Standard,2018,11,50303
19895,148201,2018,12,1,1,2,3128,312.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,College,Married,Nova,8149.77,Standard,2015,4,79381
19919,148208,2018,12,12,1,13,2587,258.0,0,0,British Columbia,Vancouver,V5R 1W3,Male,Bachelor,Divorced,Star,7283.93,2018 Promotion,2018,3,89755
19943,148216,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,Divorced,Nova,5217.51,Standard,2017,11,61070
19967,148234,2018,12,8,0,8,4120,412.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Nova,8408.32,Standard,2012,6,92496
19991,148289,2018,12,6,2,8,1760,176.0,0,0,Ontario,Thunder Bay,K8T 5M5,Female,Bachelor,Married,Star,5926.39,2018 Promotion,2018,2,99922
20015,148299,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R2C 0M5,Male,College,Married,Star,4903.81,Standard,2014,6,79381
20039,148322,2018,12,5,0,5,3930,393.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Bachelor,Married,Nova,7390.9,Standard,2017,11,54188
20063,148368,2017,12,14,2,16,1152,115.0,688,56,Alberta,Peace River,T9O 2W2,Male,College,Married,Star,4670.05,Standard,2016,3,79381
20087,148381,2018,12,14,0,14,3122,312.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,Married,Star,11618.56,Standard,2012,10,52213
20111,148382,2018,12,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Married,Nova,12128.37,Standard,2017,9,46904
20135,148453,2018,12,17,3,20,4340,434.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,College,Single,Star,3479.14,Standard,2018,7,79381
20159,148486,2018,12,6,4,10,3420,342.0,0,0,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,Divorced,Nova,5383.67,Standard,2017,6,97100
20183,148487,2018,12,0,0,0,0,0.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Male,Master,Married,Aurora,11981.98,Standard,2015,8,106899
20207,624621,2018,12,1,0,1,1933,193.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,Single,Star,2692.06,Standard,2012,5,99662
20231,935504,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,College,Single,Star,4803.94,Standard,2017,2,79381
20255,148677,2018,12,0,0,0,0,0.0,0,0,Alberta,Edmonton,T3G 6Y6,Female,Bachelor,Married,Nova,21903.91,Standard,2018,9,48191
20279,148690,2018,12,12,0,12,1752,175.0,0,0,British Columbia,Victoria,V10 6T5,Male,Bachelor,Married,Nova,8679.84,Standard,2016,11,70482
20303,148749,2018,12,13,0,13,2041,204.0,0,0,Quebec,Montreal,H2T 9K8,Female,Bachelor,Married,Star,2537.93,2018 Promotion,2018,3,18664
20327,148753,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Male,College,Divorced,Star,17497.52,Standard,2016,4,79381
20351,148766,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Male,Master,Married,Star,22658.54,Standard,2013,1,113785
20375,148767,2018,12,16,5,21,4620,462.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Male,Bachelor,Married,Aurora,10373.89,Standard,2013,1,77705
20399,148810,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Male,Bachelor,Married,Nova,40224.01,Standard,2012,6,67460
20423,148865,2018,12,6,5,11,1045,104.0,0,0,Ontario,Toronto,P1W 1K4,Male,College,Divorced,Nova,5673.84,Standard,2017,12,79381
20447,148942,2018,5,4,3,7,637,63.0,695,56,British Columbia,Dawson Creek,U5I 4F1,Male,College,Married,Star,6361.95,Standard,2015,10,79381
20471,148982,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,College,Married,Star,2326.86,2018 Promotion,2018,4,79381
20495,149174,2018,12,14,2,16,4624,462.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,College,Single,Nova,16388.1,Standard,2018,10,79381
20519,149225,2017,4,6,4,10,700,70.0,387,31,Prince Edward Island,Charlottetown,C1A 6E8,Female,Bachelor,Married,Nova,8500.91,Standard,2015,7,89827
20543,149318,2018,12,9,0,9,2142,214.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,College,Single,Aurora,9103.7,2018 Promotion,2018,3,79381
20567,149348,2018,12,2,0,2,2324,232.0,0,0,British Columbia,Victoria,V10 6T5,Female,College,Single,Aurora,28824.06,Standard,2014,3,79381
20591,149426,2018,12,6,3,9,3879,387.0,0,0,Ontario,Kingston,M9K 2P4,Female,College,Single,Star,4173.14,Standard,2017,4,79381
20615,149462,2018,12,5,0,5,1525,152.0,0,0,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,Married,Star,15739.92,Standard,2013,1,67101
20639,149542,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P1W 1K4,Male,Bachelor,Married,Star,4631.01,Standard,2014,10,89094
20663,149549,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,Bachelor,Married,Star,4436.81,2018 Promotion,2018,2,74431
20687,149655,2018,12,12,0,12,1608,160.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Nova,3141.25,Standard,2017,8,63737
20711,149782,2017,5,13,2,15,1080,108.0,644,52,Ontario,Toronto,P5S 6R4,Female,Bachelor,Married,Nova,7498.29,Standard,2013,5,54689
20735,149846,2018,12,12,8,20,3400,340.0,0,0,Quebec,Montreal,H2T 9K8,Male,College,Single,Nova,11158.13,Standard,2015,8,79381
20759,149884,2018,12,11,0,11,1837,183.0,0,0,Quebec,Montreal,H4G 3T4,Male,Bachelor,Married,Aurora,7855.32,Standard,2017,6,59149
20783,149912,2018,12,11,7,18,4068,406.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Married,Aurora,8238.46,Standard,2018,1,81857
20807,149981,2018,12,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S1J 3C5,Female,Bachelor,Single,Aurora,5272.52,Standard,2014,5,94550
20831,475233,2018,12,17,0,17,1411,141.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,College,Married,Aurora,6715.29,Standard,2013,9,79381
20855,150004,2018,12,2,0,2,2326,232.0,0,0,Ontario,London,M5B 3E4,Female,Bachelor,Married,Nova,10168.27,Standard,2012,8,57887
20879,150074,2018,12,17,0,17,2890,289.0,0,0,Ontario,Toronto,M2Z 4K1,Female,Bachelor,Married,Nova,9927.88,Standard,2017,2,74863
20903,150134,2018,12,1,0,1,2416,241.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,Married,Nova,2764.8,Standard,2013,1,55023
20927,150141,2018,12,0,0,0,0,0.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,Married,Star,5246.28,Standard,2018,6,53061
20951,298869,2018,12,11,5,16,4560,456.0,0,0,Quebec,Montreal,H2Y 2W2,Male,Bachelor,Married,Nova,5182.39,Standard,2015,12,64704
20975,150291,2018,12,15,7,22,3542,354.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Male,Bachelor,Single,Nova,8879.79,Standard,2013,11,70384
20999,150301,2018,12,6,4,10,2700,270.0,0,0,Ontario,Thunder Bay,K8T 5M5,Male,Bachelor,Single,Aurora,26232.85,Standard,2012,6,58153
21023,150383,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,Divorced,Aurora,7478.31,2018 Promotion,2018,4,49125
21047,150596,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Divorced,Star,2592.93,Standard,2013,5,74028
21071,150656,2018,6,13,4,17,1292,129.0,786,63,Ontario,Kingston,M9K 2P4,Female,Bachelor,Married,Star,2833.98,Standard,2017,10,101286
21095,150671,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Male,Bachelor,Married,Star,2903.94,Standard,2015,1,81492
21119,150751,2018,12,6,0,6,3840,384.0,0,0,Saskatchewan,Regina,S1J 3C5,Male,Bachelor,Married,Star,7148.33,Standard,2018,8,69805
21143,150754,2018,12,1,0,1,3676,367.0,0,0,British Columbia,Vancouver,V6E 3D9,Male,College,Single,Star,15789.65,Standard,2014,1,79381
21167,150767,2018,11,0,0,0,0,0.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,College,Single,Star,2241.11,Standard,2018,12,79381
21191,150883,2018,12,17,5,22,3520,352.0,0,0,Ontario,Toronto,P1W 1K4,Male,College,Single,Star,6141.96,Standard,2017,3,79381
21215,150909,2018,12,6,0,6,1020,102.0,0,0,British Columbia,Victoria,V10 6T5,Female,College,Single,Nova,9656.76,Standard,2015,3,79381
21239,151010,2018,12,16,0,16,4032,403.0,0,0,Ontario,Kingston,M9K 2P4,Male,Bachelor,Married,Nova,5357.26,Standard,2018,6,60887
21263,151030,2018,12,0,0,0,0,0.0,0,0,Nova Scotia,Halifax,B3C 2M8,Female,Bachelor,Married,Star,3847.35,2018 Promotion,2018,2,17166
21287,151036,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 2W2,Female,Bachelor,Married,Aurora,12919.42,Standard,2018,1,74521
21311,151183,2018,12,11,0,11,3355,335.0,0,0,Alberta,Edmonton,T9G 1W3,Female,College,Single,Star,4471.78,Standard,2013,8,79381
21335,151327,2018,12,0,0,0,0,0.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Male,College,Single,Aurora,13061.52,Standard,2015,2,79381
21359,151399,2018,12,0,0,0,0,0.0,0,0,Manitoba,Winnipeg,R2C 0M5,Female,Bachelor,Married,Nova,5384.53,Standard,2012,10,75346
21383,151554,2018,12,14,7,21,3717,371.0,0,0,New Brunswick,Moncton,E1A 2A7,Male,Doctor,Single,Aurora,6698.97,Standard,2016,10,187647
21407,151571,2018,12,0,0,0,0,0.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,Married,Aurora,6243.09,Standard,2018,1,86016
21431,151627,2018,12,9,8,17,2380,238.0,0,0,Ontario,Toronto,P2T 6G3,Female,Bachelor,Married,Star,6207.17,Standard,2017,2,68069
21455,151967,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,Married,Star,8925.63,Standard,2017,12,49366
21479,152014,2018,12,5,5,10,710,71.0,0,0,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,Married,Nova,6625.29,Standard,2016,4,62245
21503,152016,2018,12,8,0,8,592,59.0,0,0,Ontario,Toronto,P1J 8T7,Female,Bachelor,Married,Aurora,5067.21,2018 Promotion,2018,2,58486
21527,152139,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P2T 6G3,Female,Bachelor,Single,Nova,4603.98,Standard,2017,1,80320
21551,152148,2018,12,5,0,5,620,62.0,0,0,British Columbia,Vancouver,V6E 3Z3,Male,Bachelor,Married,Nova,3838.11,Standard,2014,4,87794
21575,152276,2018,12,13,8,21,2856,285.0,0,0,Ontario,Toronto,M2M 7K8,Female,Bachelor,Married,Nova,14195.36,Standard,2015,2,95097
21599,152305,2018,12,1,0,1,326,32.0,0,0,Alberta,Banff,T4V 1D4,Female,Bachelor,Married,Nova,7988.26,Standard,2018,12,88493
21623,152307,2018,12,16,0,16,2048,204.0,0,0,Saskatchewan,Regina,S6J 3G0,Male,Bachelor,Married,Nova,17526.18,2018 Promotion,2018,2,70124
21647,152338,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2T 9K8,Male,College,Married,Nova,8923.11,Standard,2014,7,79381
21671,152355,2018,12,5,0,5,2510,251.0,0,0,Ontario,Kingston,M9K 2P4,Male,Bachelor,Married,Nova,16775.81,Standard,2012,6,97055
21695,822749,2018,12,17,6,23,3128,312.0,0,0,British Columbia,Dawson Creek,U5I 4F1,Female,Bachelor,Divorced,Nova,13107.93,Standard,2018,6,67827
21719,152423,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V1E 4R6,Male,Bachelor,Married,Aurora,5532.86,Standard,2012,8,75642
21743,152681,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M2M 7K8,Male,College,Married,Nova,3885.46,Standard,2014,3,79381
21767,152685,2018,12,0,0,0,0,0.0,0,0,Ontario,Ottawa,K1G 4Z0,Female,College,Married,Nova,27420.81,Standard,2015,9,79381
21791,152740,2018,12,7,0,7,1162,116.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Star,2921.49,Standard,2017,12,77288
21815,152778,2018,12,3,0,3,2871,287.0,0,0,Quebec,Tremblant,H5Y 2S9,Male,Bachelor,Married,Star,5310.91,Standard,2015,4,85399
21839,152936,2018,12,0,0,0,0,0.0,0,0,Quebec,Tremblant,H5Y 2S9,Female,Bachelor,Divorced,Aurora,8427.17,Standard,2012,7,65935
21863,153003,2018,12,13,4,17,2125,212.0,0,0,New Brunswick,Fredericton,E3B 2H2,Male,Bachelor,Married,Nova,3075.59,Standard,2017,1,79483
21887,153072,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Male,Doctor,Married,Star,3829.28,Standard,2016,9,163911
21911,153075,2018,12,0,0,0,0,0.0,0,0,Ontario,London,M5B 3E4,Female,Bachelor,Married,Star,9726.55,Standard,2014,5,84765
21935,153146,2018,12,0,0,0,0,0.0,0,0,Alberta,Calgary,T3E 2V9,Male,Bachelor,Married,Nova,4929.55,Standard,2015,7,50663
21959,153193,2018,12,0,0,0,0,0.0,0,0,British Columbia,Whistler,V6T 1Y8,Male,Bachelor,Married,Star,2685.9,Standard,2012,7,74470
21983,153261,2018,12,14,0,14,3570,357.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,College,Single,Star,4502.41,Standard,2016,12,79381
22007,153395,2018,5,5,5,10,710,71.0,393,32,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,Divorced,Aurora,19079.1,Standard,2013,9,63192
22031,153439,2018,12,16,0,16,4432,443.0,0,0,Quebec,Montreal,H2T 2J6,Female,College,Single,Aurora,8621.19,Standard,2018,9,79381
22055,153462,2018,11,11,0,11,3234,323.0,0,0,Ontario,Kingston,M9K 2P4,Female,College,Married,Star,2373.8,Standard,2017,9,79381
22079,153582,2018,12,16,0,16,2608,260.0,0,0,Ontario,Sudbury,M5V 1G5,Female,College,Single,Nova,3435.65,2018 Promotion,2018,2,79381
22103,153586,2018,12,15,5,20,3900,390.0,0,0,Ontario,Ottawa,K1F 2R2,Female,Bachelor,Married,Star,5896.54,Standard,2015,11,60659
22127,153600,2018,12,11,5,16,1184,118.0,0,0,Manitoba,Winnipeg,R2C 0M5,Male,Bachelor,Married,Star,8409.67,Standard,2017,2,71411
22151,153626,2018,12,0,0,0,0,0.0,0,0,Quebec,Quebec City,G1B 3L5,Female,Bachelor,Married,Star,2489.39,Standard,2012,7,54633
22175,153884,2018,12,6,6,12,3768,376.0,0,0,Nova Scotia,Halifax,B3C 2M8,Male,College,Divorced,Star,2004.35,Standard,2015,6,79381
22199,153953,2018,11,9,3,12,2316,231.0,0,0,Quebec,Montreal,H2T 2J6,Male,Bachelor,Single,Aurora,6930.63,Standard,2017,12,53360
22223,153968,2018,12,0,0,0,0,0.0,0,0,Ontario,Kingston,M9K 2P4,Female,Bachelor,Married,Aurora,5511.03,Standard,2014,11,58445
22247,153987,2018,12,1,1,2,3060,306.0,0,0,Quebec,Montreal,H2Y 2W2,Male,Master,Married,Aurora,6057.07,Standard,2017,12,126642
22271,153998,2018,12,0,0,0,0,0.0,0,0,British Columbia,Victoria,V10 6T5,Female,Bachelor,Married,Aurora,8012.37,2018 Promotion,2018,4,42484
22295,154172,2017,5,16,8,24,1680,168.0,401,33,British Columbia,Whistler,V6T 1Y8,Male,Doctor,Married,Star,8257.67,Standard,2018,12,221857
22319,154173,2018,12,5,5,10,4030,403.0,0,0,New Brunswick,Fredericton,E3B 2H2,Female,Bachelor,Married,Star,5297.67,Standard,2018,6,56663
22343,154175,2018,12,11,3,14,4074,407.0,0,0,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,Single,Star,11177.75,Standard,2013,7,47084
22367,154194,2018,12,0,0,0,0,0.0,0,0,Ontario,Kingston,M9K 2P4,Female,College,Married,Aurora,5528.08,Standard,2018,7,79381
22391,215952,2018,12,0,0,0,0,0.0,0,0,New Brunswick,Fredericton,E3B 2H2,Male,Master,Married,Aurora,7019.18,Standard,2012,8,123841
22415,154480,2018,12,12,6,18,3636,363.0,0,0,Ontario,Sudbury,M5V 1G5,Female,Bachelor,Single,Star,2735.47,Standard,2014,9,102385
22439,154606,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Married,Nova,6189.99,2018 Promotion,2018,3,75463
22463,154643,2018,12,3,0,3,2262,226.0,0,0,Quebec,Montreal,H2T 9K8,Female,College,Married,Star,4228.73,2018 Promotion,2018,2,79381
22487,154644,2018,12,3,0,3,3600,360.0,0,0,Nova Scotia,Halifax,B3J 9S2,Female,Bachelor,Single,Nova,2854.27,Standard,2016,11,57377
22511,154652,2018,12,10,0,10,1170,117.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Single,Star,5335.38,Standard,2012,11,98937
22535,154680,2018,12,6,6,12,3132,313.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,College,Single,Star,2458.56,Standard,2015,11,79381
22559,105251,2018,12,0,0,0,0,0.0,0,0,Ontario,Trenton,K8V 4B2,Female,Bachelor,Married,Star,5074.25,Standard,2014,10,80885
22583,154736,2018,12,0,0,0,0,0.0,0,0,British Columbia,Whistler,V6T 1Y8,Female,Bachelor,Single,Star,2619.48,Standard,2015,6,100682
22607,154782,2018,10,4,2,6,438,43.0,425,34,British Columbia,West Vancouver,V6V 8Z3,Female,Bachelor,Married,Nova,5510.97,Standard,2018,5,104755
22631,154855,2018,6,14,8,22,1474,147.0,520,42,Nova Scotia,Halifax,B3C 2M8,Male,Bachelor,Married,Nova,7851.35,Standard,2017,12,55487
22655,154864,2018,11,0,0,0,0,0.0,0,0,Saskatchewan,Regina,S6J 3G0,Female,Bachelor,Married,Star,4887.79,Standard,2017,6,83672
22679,154868,2018,12,3,3,6,2112,211.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Bachelor,Married,Nova,4723.45,2018 Promotion,2018,2,53268
22703,154958,2018,12,0,0,0,0,0.0,0,0,Nova Scotia,Halifax,B3C 2M8,Female,High School or Below,Married,Nova,5575.2,Standard,2013,5,57844
22727,154981,2018,11,9,1,10,2250,225.0,0,0,Ontario,Ottawa,K1F 2R2,Female,Bachelor,Married,Star,37939.49,Standard,2016,12,46971
22751,155118,2018,11,3,0,3,906,90.0,0,0,Ontario,Toronto,P2T 6G3,Male,Bachelor,Married,Star,18611.45,Standard,2015,7,68255
22775,155348,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V6E 3D9,Female,Master,Divorced,Aurora,22647.22,Standard,2016,2,126075
22799,155354,2018,12,7,0,7,3899,389.0,0,0,Ontario,Toronto,P2T 6G3,Female,Doctor,Divorced,Star,3741.57,Standard,2016,1,86055
22823,155374,2018,12,3,0,3,297,29.0,0,0,Quebec,Quebec City,G1B 3L5,Male,Bachelor,Married,Star,3352.94,Standard,2015,3,72416
22847,155488,2018,11,5,5,10,3400,340.0,0,0,Quebec,Montreal,H2Y 2W2,Female,Doctor,Divorced,Nova,3842.03,Standard,2014,9,273672
22871,155623,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,M8Y 4K8,Male,Bachelor,Married,Aurora,9540.92,Standard,2014,8,70946
22895,155654,2018,12,13,0,13,3757,375.0,0,0,Ontario,Toronto,M2P 4F6,Male,College,Single,Nova,13372.33,2018 Promotion,2018,2,79381
22919,155763,2018,12,0,0,0,0,0.0,0,0,Ontario,Toronto,P2T 6G3,Female,Bachelor,Divorced,Nova,7519.13,Standard,2018,12,102379
22943,155791,2018,12,1,0,1,1623,162.0,0,0,Ontario,Toronto,P1L 8X8,Female,Bachelor,Married,Star,2654.38,Standard,2015,10,85468
22967,155795,2018,12,12,0,12,1080,108.0,0,0,British Columbia,Victoria,V10 6T5,Female,Bachelor,Married,Aurora,6889.62,2018 Promotion,2018,4,54455
22991,155820,2018,12,0,0,0,0,0.0,0,0,British Columbia,Vancouver,V5R 1W3,Female,Bachelor,Single,Aurora,7247.21,Standard,2016,1,78202
23015,155964,2018,12,14,3,17,2363,236.0,0,0,Ontario,Toronto,M2P 4F6,Male,Doctor,Married,Nova,14476.12,2018 Promotion,2018,2,381124
23039,155965,2018,12,5,0,5,670,67.0,0,0,Prince Edward Island,Charlottetown,C1A 6E8,Male,Bachelor,Married,Aurora,7582.11,Standard,2017,12,79325
23087,156031,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 4R4,Female,Bachelor,Married,Star,4328.37,Standard,2014,12,84981
23111,156071,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H4G 3T4,Female,Bachelor,Married,Star,3399.13,2018 Promotion,2018,4,53075
23135,156138,2018,12,0,0,0,0,0.0,0,0,Ontario,Ottawa,K1G 4Z0,Female,Bachelor,Single,Nova,2751.25,Standard,2015,5,95414
23159,156305,2018,12,13,9,22,1452,145.0,0,0,Ontario,Toronto,M2P 4F6,Male,Bachelor,Married,Star,12731.95,Standard,2013,9,61813
23183,156313,2018,12,9,8,17,4182,418.0,0,0,Newfoundland,St. John's,A1C 6H9,Female,Master,Single,Star,2959.95,Standard,2016,10,128111
23207,156355,2018,11,0,0,0,0,0.0,0,0,Alberta,Calgary,T3E 2V9,Male,Bachelor,Married,Nova,3652.53,Standard,2017,3,60942
23231,156457,2018,12,7,5,12,2568,256.0,0,0,Nova Scotia,Halifax,B3J 9S2,Male,Bachelor,Married,Star,6087.3,Standard,2013,11,94584
23255,156666,2018,12,0,0,0,0,0.0,0,0,Quebec,Montreal,H2Y 2W2,Female,Bachelor,Single,Nova,7892.82,Standard,2018,10,53285
